cell | V (mV),INa | xina (nA_per_nF)
22.129,1.82E-08
22.1023,1.65E-08
22.0757,1.49E-08
22.0491,1.35E-08
22.0227,1.11E-08
21.9963,8.41E-09
21.97,5.71E-09
21.9438,3.04E-09
21.9177,4.65E-10
21.8916,-1.96E-09
21.8657,-4.16E-09
21.8398,-6.07E-09
21.814,-7.61E-09
21.7883,-8.70E-09
21.7626,-9.23E-09
21.7371,-9.13E-09
21.7116,-9.47E-09
21.6862,-1.03E-08
21.6609,-1.09E-08
21.6357,-1.14E-08
21.6105,-1.16E-08
21.5854,-1.17E-08
21.5604,-1.15E-08
21.5355,-1.13E-08
21.5107,-1.08E-08
21.4859,-1.03E-08
21.4613,-9.64E-09
21.4367,-8.91E-09
21.4122,-8.04E-09
21.3877,-6.87E-09
21.3634,-5.61E-09
21.3391,-4.30E-09
21.3149,-2.97E-09
21.2908,-1.65E-09
21.2667,-3.78E-10
21.2427,7.96E-10
21.2189,1.83E-09
21.195,2.66E-09
21.1713,3.24E-09
21.1476,3.51E-09
21.1241,3.50E-09
21.1006,4.27E-09
21.0771,4.96E-09
21.0538,5.55E-09
21.0305,6.05E-09
21.0073,6.44E-09
20.9842,6.72E-09
20.9611,6.88E-09
20.9382,6.92E-09
20.9153,6.84E-09
20.8924,6.64E-09
20.8697,6.31E-09
20.847,5.86E-09
20.8244,5.39E-09
20.8019,4.85E-09
20.7794,4.25E-09
20.757,3.61E-09
20.7347,2.94E-09
20.7125,2.26E-09
20.6903,1.59E-09
20.6683,9.68E-10
20.6462,4.09E-10
20.6243,-5.09E-11
20.6024,-3.79E-10
20.5806,-5.39E-10
20.5589,-8.66E-10
20.5373,-1.41E-09
20.5157,-1.93E-09
20.4942,-2.40E-09
20.4727,-2.82E-09
20.4514,-3.18E-09
20.4301,-3.47E-09
20.4089,-3.68E-09
20.3877,-3.81E-09
20.3666,-3.85E-09
20.3456,-3.78E-09
20.3247,-3.61E-09
20.3038,-3.40E-09
20.283,-3.32E-09
20.2623,-3.19E-09
20.2416,-3.03E-09
20.221,-2.83E-09
20.2005,-2.59E-09
20.18,-2.33E-09
20.1596,-2.04E-09
20.1393,-1.74E-09
20.1191,-1.41E-09
20.0989,-1.09E-09
20.0788,-7.58E-10
20.0587,-4.37E-10
20.0387,-1.32E-10
20.0188,1.49E-10
19.999,3.97E-10
19.9792,6.02E-10
19.9595,7.53E-10
