cell | V (mV),INa | INa (uA_per_uF)
31.269,-4.97E-10
31.2607,-4.34E-10
31.2524,-3.78E-10
31.2442,-3.29E-10
31.236,-2.89E-10
31.2278,-2.57E-10
31.2195,-2.18E-10
31.2114,-1.67E-10
31.2032,-1.20E-10
31.195,-7.60E-11
31.1868,-3.58E-11
31.1787,6.58E-13
31.1705,3.34E-11
31.1624,6.23E-11
31.1543,8.74E-11
31.1462,1.09E-10
31.1381,1.26E-10
31.13,1.40E-10
31.1219,1.50E-10
31.1138,1.57E-10
31.1058,1.60E-10
31.0977,1.59E-10
31.0897,1.56E-10
31.0817,1.49E-10
31.0737,1.40E-10
31.0657,1.28E-10
31.0577,1.13E-10
31.0497,9.58E-11
31.0417,7.69E-11
31.0338,5.63E-11
31.0258,3.45E-11
31.0179,1.18E-11
31.01,-1.14E-11
31.002,-3.47E-11
30.9941,-5.76E-11
30.9863,-7.98E-11
30.9784,-1.01E-10
30.9705,-1.20E-10
30.9626,-1.36E-10
30.9548,-1.50E-10
30.947,-1.60E-10
30.9391,-1.66E-10
30.9313,-1.67E-10
30.9235,-1.62E-10
30.9157,-1.60E-10
30.9079,-1.76E-10
30.9001,-1.90E-10
30.8924,-2.04E-10
30.8846,-2.16E-10
30.8769,-2.27E-10
30.8692,-2.36E-10
30.8614,-2.44E-10
30.8537,-2.51E-10
30.846,-2.55E-10
30.8383,-2.58E-10
30.8307,-2.59E-10
30.823,-2.58E-10
30.8154,-2.55E-10
30.8077,-2.50E-10
30.8001,-2.43E-10
30.7925,-2.33E-10
30.7848,-2.22E-10
30.7772,-2.08E-10
30.7696,-1.93E-10
30.7621,-1.80E-10
30.7545,-1.66E-10
30.7469,-1.52E-10
30.7394,-1.36E-10
30.7319,-1.20E-10
30.7243,-1.04E-10
30.7168,-8.73E-11
30.7093,-7.05E-11
30.7018,-5.39E-11
30.6943,-3.77E-11
30.6869,-2.22E-11
30.6794,-7.67E-12
30.672,5.64E-12
30.6645,1.74E-11
30.6571,2.72E-11
30.6497,3.49E-11
30.6423,3.99E-11
30.6349,4.18E-11
30.6275,4.23E-11
30.6201,5.51E-11
30.6127,6.73E-11
30.6054,7.91E-11
30.598,9.01E-11
30.5907,1.00E-10
30.5834,1.10E-10
30.5761,1.18E-10
30.5688,1.26E-10
30.5615,1.32E-10
30.5542,1.37E-10
30.5469,1.41E-10
30.5396,1.44E-10
30.5324,1.45E-10
30.5252,1.45E-10
30.5179,1.43E-10
30.5107,1.39E-10
30.5035,1.34E-10
30.4963,1.27E-10
30.4891,1.17E-10
30.4819,1.13E-10
30.4748,1.07E-10
30.4676,1.01E-10
30.4605,9.45E-11
30.4533,8.72E-11
30.4462,7.96E-11
30.4391,7.16E-11
30.432,6.34E-11
30.4249,5.51E-11
30.4178,4.67E-11
30.4107,3.86E-11
30.4037,3.07E-11
30.3966,2.32E-11
30.3896,1.63E-11
30.3825,1.02E-11
30.3755,5.01E-12
30.3685,9.76E-13
30.3615,-1.72E-12
30.3545,-2.88E-12
30.3475,-1.03E-11
30.3406,-1.82E-11
30.3336,-2.58E-11
30.3267,-3.31E-11
30.3197,-4.01E-11
30.3128,-4.67E-11
30.3059,-5.29E-11
30.299,-5.85E-11
30.2921,-6.35E-11
30.2852,-6.79E-11
30.2783,-7.16E-11
30.2714,-7.45E-11
30.2646,-7.65E-11
30.2577,-7.75E-11
30.2509,-7.76E-11
30.244,-7.66E-11
30.2372,-7.44E-11
30.2304,-7.11E-11
30.2236,-6.64E-11
30.2168,-6.43E-11
30.21,-6.25E-11
30.2033,-6.03E-11
30.1965,-5.78E-11
30.1898,-5.48E-11
30.183,-5.16E-11
30.1763,-4.81E-11
30.1696,-4.44E-11
30.1629,-4.05E-11
30.1562,-3.65E-11
30.1495,-3.24E-11
30.1428,-2.84E-11
30.1361,-2.45E-11
30.1294,-2.08E-11
30.1228,-1.73E-11
30.1161,-1.42E-11
30.1095,-1.15E-11
30.1029,-9.35E-12
30.0963,-7.87E-12
30.0897,-4.14E-12
30.0831,5.18E-13
30.0765,5.12E-12
30.0699,9.63E-12
30.0634,1.40E-11
30.0568,1.82E-11
30.0503,2.22E-11
30.0437,2.59E-11
30.0372,2.94E-11
30.0307,3.25E-11
30.0242,3.52E-11
30.0177,3.74E-11
30.0112,3.92E-11
30.0047,4.04E-11
29.9982,4.11E-11
29.9918,4.11E-11
29.9853,4.03E-11
29.9789,3.89E-11
29.9724,3.66E-11
29.966,3.55E-11
29.9596,3.52E-11
29.9532,3.46E-11
29.9468,3.38E-11
29.9404,3.28E-11
29.9341,3.16E-11
29.9277,3.02E-11
29.9213,2.87E-11
29.915,2.70E-11
29.9086,2.52E-11
29.9023,2.33E-11
29.896,2.14E-11
29.8897,1.94E-11
29.8834,1.74E-11
29.8771,1.56E-11
29.8708,1.38E-11
29.8645,1.21E-11
29.8583,1.07E-11
29.852,9.47E-12
29.8458,7.56E-12
29.8395,4.89E-12
29.8333,2.21E-12
29.8271,-4.50E-13
29.8209,-3.07E-12
29.8147,-5.63E-12
29.8085,-8.10E-12
29.8023,-1.05E-11
29.7961,-1.27E-11
29.79,-1.47E-11
29.7838,-1.65E-11
29.7776,-1.81E-11
29.7715,-1.95E-11
29.7654,-2.05E-11
29.7593,-2.12E-11
29.7531,-2.15E-11
29.747,-2.14E-11
29.741,-2.08E-11
29.7349,-1.98E-11
29.7288,-1.92E-11
29.7227,-1.94E-11
29.7167,-1.95E-11
29.7106,-1.95E-11
29.7046,-1.93E-11
29.6985,-1.90E-11
29.6925,-1.86E-11
29.6865,-1.80E-11
29.6805,-1.74E-11
29.6745,-1.67E-11
29.6685,-1.59E-11
29.6625,-1.50E-11
29.6566,-1.41E-11
29.6506,-1.31E-11
29.6446,-1.21E-11
29.6387,-1.11E-11
29.6328,-1.02E-11
29.6268,-9.24E-12
29.6209,-8.37E-12
29.615,-7.33E-12
29.6091,-5.85E-12
29.6032,-4.34E-12
29.5973,-2.82E-12
29.5914,-1.30E-12
29.5856,2.00E-13
29.5797,1.67E-12
29.5738,3.09E-12
29.568,4.45E-12
29.5622,5.73E-12
29.5563,6.90E-12
29.5505,7.95E-12
29.5447,8.87E-12
29.5389,9.61E-12
29.5331,1.02E-11
29.5273,1.05E-11
29.5215,1.06E-11
29.5158,1.05E-11
29.51,1.01E-11
29.5043,9.69E-12
29.4985,1.00E-11
29.4928,1.03E-11
29.4871,1.05E-11
29.4813,1.06E-11
29.4756,1.07E-11
29.4699,1.07E-11
29.4642,1.06E-11
29.4585,1.04E-11
29.4529,1.02E-11
29.4472,9.93E-12
29.4415,9.60E-12
29.4359,9.21E-12
29.4302,8.78E-12
29.4246,8.31E-12
29.4189,7.80E-12
29.4133,7.28E-12
29.4077,6.74E-12
29.4021,6.19E-12
29.3965,5.61E-12
29.3909,4.83E-12
29.3853,4.02E-12
29.3797,3.20E-12
29.3742,2.36E-12
29.3686,1.52E-12
29.3631,6.81E-13
29.3575,-1.40E-13
29.352,-9.35E-13
29.3465,-1.70E-12
29.3409,-2.41E-12
29.3354,-3.07E-12
29.3299,-3.65E-12
29.3244,-4.16E-12
29.3189,-4.56E-12
29.3134,-4.86E-12
29.308,-5.03E-12
29.3025,-5.07E-12
29.297,-4.94E-12
29.2916,-4.71E-12
29.2861,-5.02E-12
29.2807,-5.30E-12
29.2753,-5.54E-12
29.2699,-5.74E-12
29.2644,-5.90E-12
29.259,-6.01E-12
29.2536,-6.08E-12
29.2482,-6.11E-12
29.2429,-6.10E-12
29.2375,-6.05E-12
29.2321,-5.95E-12
29.2268,-5.82E-12
29.2214,-5.65E-12
29.2161,-5.44E-12
29.2107,-5.19E-12
29.2054,-4.91E-12
29.2001,-4.61E-12
29.1947,-4.27E-12
29.1894,-3.91E-12
29.1841,-3.51E-12
29.1788,-3.09E-12
29.1736,-2.65E-12
29.1683,-2.20E-12
29.163,-1.74E-12
29.1577,-1.28E-12
29.1525,-8.22E-13
29.1472,-3.69E-13
29.142,6.99E-14
29.1367,4.90E-13
29.1315,8.83E-13
29.1263,1.24E-12
29.1211,1.56E-12
29.1159,1.83E-12
29.1107,2.05E-12
29.1055,2.19E-12
29.1003,2.27E-12
29.0951,2.26E-12
