Concentrations | pH_int (dimensionless),NHE3 | J_NHE3_Na (nmol_per_s_per_cm2)
8.715,1.57E-05
8.72,1.54E-05
8.725,1.50E-05
8.73,1.47E-05
8.735,1.44E-05
8.74,1.41E-05
8.745,1.38E-05
8.75,1.35E-05
8.755,1.32E-05
8.76,1.29E-05
8.765,1.26E-05
8.77,1.23E-05
8.775,1.21E-05
8.78,1.18E-05
8.785,1.15E-05
8.79,1.13E-05
8.795,1.10E-05
8.8,1.08E-05
8.805,1.05E-05
8.81,1.03E-05
8.815,1.01E-05
8.82,9.86E-06
8.825,9.65E-06
8.83,9.43E-06
8.835,9.22E-06
8.84,9.02E-06
8.845,8.82E-06
8.85,8.63E-06
8.855,8.44E-06
8.86,8.25E-06
8.865,8.07E-06
8.87,7.89E-06
8.875,7.71E-06
8.88,7.54E-06
8.885,7.38E-06
8.89,7.21E-06
8.895,7.05E-06
8.9,6.90E-06
8.905,6.74E-06
8.91,6.59E-06
8.915,6.45E-06
8.92,6.30E-06
8.925,6.16E-06
8.93,6.03E-06
8.935,5.89E-06
8.94,5.76E-06
8.945,5.63E-06
8.95,5.51E-06
8.955,5.39E-06
8.96,5.27E-06
8.965,5.15E-06
8.97,5.03E-06
8.975,4.92E-06
8.98,4.81E-06
8.985,4.71E-06
8.99,4.60E-06
8.995,4.50E-06
9,4.40E-06
