ion_concentrations | V (volt),NBC_current | I_NaGl_SS (uA)
0.02,-0.0307844
0.0202,-0.0306786
0.0204,-0.0305727
0.0206,-0.0304669
0.0208,-0.0303611
0.021,-0.0302552
0.0212,-0.0301494
0.0214,-0.0300436
0.0216,-0.0299378
0.0218,-0.0298321
0.022,-0.0297263
0.0222,-0.0296206
0.0224,-0.0295149
0.0226,-0.0294092
0.0228,-0.0293036
0.023,-0.029198
0.0232,-0.0290924
0.0234,-0.0289868
0.0236,-0.0288813
0.0238,-0.0287759
0.024,-0.0286704
0.0242,-0.0285651
0.0244,-0.0284597
0.0246,-0.0283545
0.0248,-0.0282492
0.025,-0.028144
0.0252,-0.0280389
0.0254,-0.0279339
0.0256,-0.0278288
0.0258,-0.0277239
0.026,-0.027619
0.0262,-0.0275142
0.0264,-0.0274095
0.0266,-0.0273048
0.0268,-0.0272002
0.027,-0.0270957
0.0272,-0.0269912
0.0274,-0.0268869
0.0276,-0.0267826
0.0278,-0.0266784
0.028,-0.0265743
0.0282,-0.0264703
0.0284,-0.0263663
0.0286,-0.0262625
0.0288,-0.0261588
0.029,-0.0260551
0.0292,-0.0259516
0.0294,-0.0258481
0.0296,-0.0257448
0.0298,-0.0256416
0.03,-0.0255384
0.0302,-0.0254354
0.0304,-0.0253325
0.0306,-0.0252297
0.0308,-0.0251271
0.031,-0.0250245
0.0312,-0.0249221
0.0314,-0.0248198
0.0316,-0.0247176
0.0318,-0.0246155
0.032,-0.0245136
0.0322,-0.0244118
0.0324,-0.0243102
0.0326,-0.0242086
0.0328,-0.0241072
0.033,-0.024006
0.0332,-0.0239049
0.0334,-0.0238039
0.0336,-0.0237031
0.0338,-0.0236024
0.034,-0.0235019
0.0342,-0.0234015
0.0344,-0.0233013
0.0346,-0.0232012
0.0348,-0.0231013
0.035,-0.0230016
0.0352,-0.022902
0.0354,-0.0228026
0.0356,-0.0227033
0.0358,-0.0226042
0.036,-0.0225053
0.0362,-0.0224065
0.0364,-0.0223079
0.0366,-0.0222095
0.0368,-0.0221113
0.037,-0.0220132
0.0372,-0.0219153
0.0374,-0.0218176
0.0376,-0.0217201
0.0378,-0.0216228
0.038,-0.0215256
0.0382,-0.0214287
0.0384,-0.0213319
0.0386,-0.0212353
0.0388,-0.0211389
0.039,-0.0210427
0.0392,-0.0209468
0.0394,-0.020851
0.0396,-0.0207554
0.0398,-0.02066
0.04,-0.0205648
0.0402,-0.0204698
0.0404,-0.020375
0.0406,-0.0202804
0.0408,-0.020186
0.041,-0.0200919
0.0412,-0.0199979
0.0414,-0.0199042
0.0416,-0.0198107
0.0418,-0.0197174
0.042,-0.0196243
0.0422,-0.0195314
0.0424,-0.0194387
0.0426,-0.0193463
0.0428,-0.0192541
0.043,-0.0191621
0.0432,-0.0190704
0.0434,-0.0189789
0.0436,-0.0188876
0.0438,-0.0187965
0.044,-0.0187056
0.0442,-0.018615
0.0444,-0.0185247
0.0446,-0.0184345
0.0448,-0.0183446
0.045,-0.018255
0.0452,-0.0181655
0.0454,-0.0180764
0.0456,-0.0179874
0.0458,-0.0178987
0.046,-0.0178103
0.0462,-0.017722
0.0464,-0.0176341
0.0466,-0.0175463
0.0468,-0.0174589
0.047,-0.0173716
0.0472,-0.0172847
0.0474,-0.0171979
0.0476,-0.0171115
0.0478,-0.0170252
0.048,-0.0169393
0.0482,-0.0168535
0.0484,-0.0167681
0.0486,-0.0166829
0.0488,-0.0165979
0.049,-0.0165132
0.0492,-0.0164288
0.0494,-0.0163446
0.0496,-0.0162607
0.0498,-0.0161771
0.05,-0.0160937
