fast_sodium_current | i_Na (picoA_per_picoF),membrane | V (millivolt)
-4.87633e-06,-85.6744
-4.87755e-06,-85.674
-4.87877e-06,-85.6736
-4.87998e-06,-85.6732
-4.88119e-06,-85.6728
-4.8824e-06,-85.6724
-4.8836e-06,-85.672
-4.8848e-06,-85.6716
-4.886e-06,-85.6712
-4.88719e-06,-85.6709
-4.88838e-06,-85.6705
-4.88957e-06,-85.6701
-4.89075e-06,-85.6697
-4.89193e-06,-85.6693
-4.89311e-06,-85.669
-4.89428e-06,-85.6686
-4.89545e-06,-85.6682
-4.89662e-06,-85.6678
-4.89778e-06,-85.6675
-4.89894e-06,-85.6671
-4.9001e-06,-85.6667
-4.90126e-06,-85.6664
-4.90241e-06,-85.666
-4.90356e-06,-85.6656
-4.9047e-06,-85.6652
-4.90584e-06,-85.6649
-4.90698e-06,-85.6645
-4.90812e-06,-85.6642
-4.90925e-06,-85.6638
-4.91038e-06,-85.6634
-4.91151e-06,-85.6631
-4.91263e-06,-85.6627
-4.91375e-06,-85.6624
-4.91487e-06,-85.662
-4.91598e-06,-85.6616
-4.91709e-06,-85.6613
-4.9182e-06,-85.6609
-4.9193e-06,-85.6606
-4.9204e-06,-85.6602
-4.9215e-06,-85.6599
-4.9226e-06,-85.6595
-4.92369e-06,-85.6592
-4.92478e-06,-85.6588
-4.92586e-06,-85.6585
-4.92695e-06,-85.6581
-4.92803e-06,-85.6578
-4.9291e-06,-85.6574
-4.93018e-06,-85.6571
-4.93125e-06,-85.6568
-4.93232e-06,-85.6564
-4.93338e-06,-85.6561
-4.93444e-06,-85.6557
-4.9355e-06,-85.6554
-4.93656e-06,-85.6551
-4.93761e-06,-85.6547
-4.93866e-06,-85.6544
-4.93971e-06,-85.6541
-4.94075e-06,-85.6537
-4.94179e-06,-85.6534
-4.94283e-06,-85.6531
-4.94386e-06,-85.6527
-4.94489e-06,-85.6524
-4.94592e-06,-85.6521
-4.94695e-06,-85.6518
-4.94797e-06,-85.6514
-4.94899e-06,-85.6511
-4.95001e-06,-85.6508
-4.95102e-06,-85.6505
-4.95203e-06,-85.6501
-4.95304e-06,-85.6498
-4.95405e-06,-85.6495
-4.95505e-06,-85.6492
-4.95605e-06,-85.6489
-4.95705e-06,-85.6486
-4.95804e-06,-85.6482
-4.95903e-06,-85.6479
-4.96002e-06,-85.6476
-4.961e-06,-85.6473
-4.96199e-06,-85.647
-4.96297e-06,-85.6467
-4.96394e-06,-85.6464
-4.96492e-06,-85.6461
-4.96589e-06,-85.6457
-4.96686e-06,-85.6454
-4.96782e-06,-85.6451
-4.96878e-06,-85.6448
-4.96974e-06,-85.6445
-4.9707e-06,-85.6442
-4.97165e-06,-85.6439
-4.9726e-06,-85.6436
-4.97355e-06,-85.6433
-4.9745e-06,-85.643
-4.97544e-06,-85.6427
-4.97638e-06,-85.6424
-4.97732e-06,-85.6421
-4.97825e-06,-85.6418
-4.97918e-06,-85.6415
-4.98011e-06,-85.6412
-4.98103e-06,-85.6409
-4.98196e-06,-85.6406
-4.98288e-06,-85.6404
-4.9838e-06,-85.6401
-4.98471e-06,-85.6398
-4.98562e-06,-85.6395
-4.98653e-06,-85.6392
-4.98744e-06,-85.6389
-4.98834e-06,-85.6386
-4.98924e-06,-85.6383
-4.99014e-06,-85.6381
-4.99103e-06,-85.6378
-4.99193e-06,-85.6375
-4.99282e-06,-85.6372
-4.9937e-06,-85.6369
-4.99459e-06,-85.6366
-4.99547e-06,-85.6364
